names,scores,distances,rect
OTT2017_RS111017210650-219,"[20.432762, 19.15463, 152.92702, 186.67372, 21.549953, 10.728631, 27.75411]","[67.26812023536856, 66.70832032063167, 57.0087712549569, 40.311288741492746, 33.54101966249684, 20.0, 50.99019513592785]","[(374, 169, 64, 254), (762, 227, 97, 96), (607, 333, 240, 161), (872, 199, 291, 312), (369, 290, 163, 166), (360, 545, 150, 155), (452, 550, 308, 121)]"
NOV2017_TN211117300635-232,"[13.612699, 7.640177, 17.21704, 164.3914, 35.87983, 13.174864, 32.914566]","[20.0, 30.0, 14.142135623730951, 69.6419413859206, 20.0, 30.0, 83.21658488546619]","[(324, 139, 54, 254), (742, 317, 87, 86), (627, 393, 230, 151), (842, 179, 524, 332), (379, 280, 123, 156), (360, 495, 150, 155), (472, 480, 338, 141)]"
GIU2017_MS290617020625-193,"[3.194496, 8.89856, 7.350842, 11.584531, 10.604539, 11.544895, 16.562778]","[22.360679774997898, 14.142135623730951, 15.811388300841896, 31.622776601683793, 18.027756377319946, 46.09772228646444, 36.05551275463989]","[(314, 139, 54, 254), (732, 277, 87, 86), (627, 373, 240, 161), (882, 219, 171, 302), (369, 290, 133, 156), (320, 535, 160, 155), (472, 520, 308, 121)]"
MAG2018_NS240518270140-083,"[10.383935, 10.019998, 160.83684, 233.31499, 27.661144, 10.309641, 24.182726]","[20.0, 42.42640687119285, 50.0, 51.478150704935004, 41.23105625617661, 42.720018726587654, 31.622776601683793]","[(304, 119, 54, 254), (712, 317, 87, 86), (667, 383, 230, 151), (882, 279, 178, 312), (369, 340, 123, 156), (320, 545, 150, 165), (532, 530, 308, 121)]"
MAR2018_UB130318300727-039,"[3.8934712, 7.3953166, 7.4839244, 121.32525, 10.929168, 10.718828, 20.326977]","[14.142135623730951, 22.360679774997898, 22.360679774997898, 40.0, 11.180339887498949, 61.84658438426491, 22.360679774997898]","[(314, 109, 54, 254), (732, 267, 87, 86), (627, 363, 230, 151), (852, 269, 166, 302), (369, 300, 123, 166), (350, 475, 160, 175), (482, 550, 308, 121)]"
GEN2018_SO020118281035-001,"[2.2430992, 8.953839, 8.67101, 46.44458, 7.3206897, 9.970017, 16.682512]","[25.495097567963924, 5.0, 36.05551275463989, 20.615528128088304, 20.0, 36.05551275463989, 22.360679774997898]","[(304, 129, 64, 264), (742, 297, 87, 96), (647, 403, 230, 151), (872, 259, 258, 322), (369, 310, 143, 176), (380, 555, 150, 155), (512, 560, 308, 121)]"
GIU2018_PR140618310733-073,"[4.345071, 14.49895, 53.826843, 83.15151, 56.158268, 10.362557, 33.134075]","[25.495097567963924, 50.0, 25.0, 18.027756377319946, 31.622776601683793, 20.615528128088304, 30.0]","[(304, 119, 64, 264), (772, 327, 87, 86), (617, 413, 230, 161), (842, 249, 94, 312), (409, 290, 123, 156), (360, 505, 160, 155), (502, 510, 308, 121)]"
GEN2017_RG120117011139-145,"[4.294431, 12.652308, 6.061732, 30.410368, 10.721085, 10.886598, 28.287054]","[42.42640687119285, 22.360679774997898, 25.495097567963924, 33.54101966249684, 20.615528128088304, 31.622776601683793, 69.6419413859206]","[(294, 89, 54, 254), (732, 307, 87, 86), (627, 413, 240, 161), (882, 249, 174, 312), (379, 310, 163, 186), (350, 555, 150, 155), (482, 480, 318, 131)]"
MAG2018_CG220518190362-082,"[2.3601768, 14.483471, 6.372779, 9.491892, 7.5104094, 10.53027, 16.280972]","[40.311288741492746, 20.0, 41.23105625617661, 44.721359549995796, 36.05551275463989, 30.0, 53.85164807134504]","[(304, 159, 54, 264), (762, 287, 87, 86), (657, 373, 230, 151), (892, 249, 231, 302), (369, 280, 143, 176), (330, 525, 150, 155), (452, 560, 308, 121)]"
MAR2016_PA160316020749-283,"[1.9501697, 16.825392, 70.77431, 11.3404665, 7.4619765, 11.083787, 16.694319]","[50.0, 74.33034373659252, 42.42640687119285, 30.4138126514911, 11.180339887498949, 50.99019513592785, 31.622776601683793]","[(284, 159, 54, 274), (682, 317, 107, 96), (647, 413, 230, 151), (882, 239, 204, 312), (379, 320, 133, 176), (410, 515, 150, 155), (512, 570, 308, 121)]"
GEN2018_EL180118110642-011,"[4.058953, 7.6643076, 7.8759637, 9.482964, 8.410627, 9.974045, 16.632664]","[46.09772228646444, 20.0, 42.42640687119285, 29.154759474226502, 22.360679774997898, 20.615528128088304, 44.721359549995796]","[(294, 149, 64, 254), (742, 307, 87, 86), (647, 413, 230, 151), (882, 249, 228, 312), (369, 300, 143, 176), (360, 505, 160, 155), (552, 560, 328, 121)]"
NOV2018_MG091118230240-139,"[5.351842, 19.104483, 199.24612, 7.0462904, 29.98192, 11.763928, 20.645468]","[52.20153254455275, 25.0, 50.0, 29.154759474226502, 50.99019513592785, 35.35533905932738, 41.23105625617661]","[(314, 169, 64, 254), (732, 307, 97, 86), (657, 353, 230, 151), (882, 219, 279, 312), (389, 250, 123, 156), (370, 565, 160, 165), (542, 550, 308, 121)]"
GIU2016_MV090616251042-294,"[2.2729676, 7.821512, 7.062147, 7.2364163, 7.939901, 10.689016, 14.586585]","[43.01162633521314, 15.811388300841896, 15.811388300841896, 45.0, 15.0, 36.05551275463989, 36.05551275463989]","[(304, 99, 64, 284), (732, 297, 97, 96), (617, 373, 240, 161), (872, 209, 323, 352), (369, 310, 133, 176), (380, 495, 150, 155), (472, 560, 308, 121)]"
